Rank,AQI,State,Population,code
1,51.2,Utah ,"2,858,111",UT
2,48.2,Ohio ,"11,560,380",OH
2,48.2,Georgia ,"9,907,756",GE
4,47.6,West Virginia ,"1,853,881",WE
5,47.5,Indiana ,"6,542,411",IN
5,47.5,Tennessee ,"6,451,365",TE
7,47.1,Colorado ,"5,197,580",CO
8,47,Maryland ,"5,887,776",MA
9,46.8,District of Columbia ,"633,736",DI
10,46.6,Alabama ,"4,817,678",AL
11,46.5,North Carolina ,"9,750,405",NO
12,46.4,Delaware ,"917,060",DE
13,46.1,Kentucky ,"4,383,272",KE
14,46,California ,"38,066,920",CA
15,45.6,Pennsylvania ,"12,758,729",PE
16,45.4,Arizona ,"6,561,516",AR
17,45,Wyoming ,"575,251",WY
17,45,Connecticut ,"3,592,053",CO
17,45,Virginia ,"8,185,131",VI
20,44.8,South Carolina ,"4,727,273",SO
21,44.3,Idaho ,"1,599,464",ID
22,44.1,New Jersey ,"8,874,374",NE
23,44,Missouri ,"6,028,076",MI
24,43.7,Rhode Island ,"1,053,252",RH
24,43.7,Mississippi ,"2,984,345",MI
26,43.6,Illinois ,"12,868,747",IL
27,43.5,Oklahoma ,"3,818,851",OK
28,43.1,Arkansas ,"2,947,036",AR
29,42.8,Kansas ,"2,882,946",KA
30,42.5,Michigan ,"9,889,024",MI
31,42.1,Nevada ,"2,761,584",NE
31,42.1,New Mexico ,"2,080,085",NE
33,41.4,Massachusetts ,"6,657,291",MA
34,41,Texas ,"26,092,033",TE
35,40.4,Louisiana ,"4,601,049",LO
35,40.4,New York ,"19,594,330",NE
37,39.6,South Dakota ,"834,708",SO
37,39.6,Montana ,"1,006,370",MO
39,39.5,Wisconsin ,"5,724,692",WI
40,38.9,New Hampshire ,"1,321,069",NE
40,38.9,Florida ,"19,361,792",FL
42,38.5,Vermont ,"626,358",VE
43,38.3,Minnesota ,"5,383,661",MI
44,37.6,Iowa ,"3,078,116",IO
45,37,North Dakota ,"704,925",NO
45,37,Nebraska ,"1,855,617",NE
47,36.5,Maine ,"1,328,535",MA
48,36.1,Oregon ,"3,900,343",OR
49,33.5,Washington ,"6,899,123",WA
50,29.1,Alaska ,"728,300",AL
51,21.2,Hawaii ,"1,392,704",HA
